Title,Year,Plot
Spycies,(2019),"Vladimir and Hector, two secret agents opposite in every way, are trying to recover a top secret material stolen by unknown intruders."
Metropia,(2009),"A complex story of a misaligned man, though good intent, creating a nightmarish Dystopian existence."
Blood: The Last Vampire,(2000),"Saya is a Japanese vampire slayer whose next mission is in a high school on a US military base in 1960s Japan, where she poses as a student. She uses a katana/samurai sword to kill vampires."
Vexille,(2007),"Japan, 2077: A female agent named Vexille is dispatched to Tokyo to investigate whether Japanese are developing robotic technology, which has been banned by the U.N. due to its potential threat to humankind."
Dragon Nest: Warriors' Dawn,(2014),Lambert joins the Dragon Slayers' League to save Altera from the Black Dragon.
BoBoiBoy Movie 2,(2019),BoBoiBoy and his friends have been attacked by a villain named Retak'ka who is the original user of BoBoiBoy's powers. He seeks to take back his powers from him to become the most powerful person and dominate the galaxy.
Gay Purr-ee,(1962),A farm cat moves to Paris in search of the high life while her wannabe lover from back home tries to reunite.
Thunder Island,(2020),"Set in 1984, Zac and Dre venture out to the uncharted and mystical Thunder Island to retrieve a treasure to escape the neighborhood bullies."
Kidô Senshi Gundam: Gyakushû no Shâ,(1988),Amuro Ray and Char Aznable settle their rivalry once and for all during the Second Neo Zeon War.
Don gato y su pandilla,(2011),"Top Cat and the gang face a new police chief, who is not at all happy with the poor Officer Dibble's performance trying to prevent Top Cat's scams."
Curious George 2: Follow That Monkey!,(2009),George embarks on a cross-country trip to reunite a baby elephant with her family.
Pokémon the Movie: Destiny Deoxys,(2004),"A comet bearing a deadly Pokemon creature crash-lands onto Earth, terrorising a nearby high-tech city, where Ash, Pikachu and friends are currently visiting..."
Sheep & Wolves,(2016),The young wolf Grey is transformed into a sheep by a mage who has given him a wish. Now he must gain the trust of the sheep colony and protect them from an impending attack of the wolves.
Modest Heroes,(2018),"An anthology of three original shorts written and directed by Hiromasa Yonebayashi, Yoshiyuki Momose and Akihiko Yamashita."
Dirty Duck,(1974),Mild-mannered insurance-adjuster Willard teams up with a foul-mouthed fowl who takes him on a surreal quest to become less uptight--and possibly get laid.
Titanic - La leggenda continua,(2000),"A Cinderella meets her Prince Charming on the ill-fated Titanic. Along for the ride are a rapping dog, other talking animals, and an assortment of wacky humans."
Eve no jikan,(2010),"In a not too distant future, a young man's outlook on his home android begins to change after tracking the android's behavioral log to a mysterious cafe."
Fatal Fury: The Motion Picture,(1994),"The brothers, Andy & Terry Bogard, along with Joe Higashi and Mai Shiranui, try to help Sulia Gaudeamus stop her ambitious brother Laocorn from finding the magical armor of Mars."
The Garden of Sinners: Overlooking View,(2007),"September 1998: A recent spate of unusual suicide incidents where several high school girls fell to their death, but left no suicide note and had apparently no reason to commit suicide. In ... "
The Monkey King,(2023),An animated version of the mythical Chinese hero.
Kill It and Leave This Town,(2020),"Fleeing from despair after losing those dearest to him, the hero hides in a safe land of memories, where time stands still and all those dear to him are alive."
Golgo 13: The Professional,(1983),"After killing the son of a powerful oil tycoon, an infamous hit-man becomes the target of American soldiers and superhuman killers."
Azur et Asmar,(2006),"Raised by the same woman, the dark-complexioned, Asmar, and the flaxen-haired, Azur, set out on a quest to a strange and magical land to liberate the enchanting Djinn-fairy; but, only one can save her. Will the brothers be triumphant?"
My Little Pony: Equestria Girls - Legend of Everfree,(2016),"The students of Canterlot High come to a summer camp where there are odd counselors, strange phenomena and, hidden agendas."
Shrek Retold,(2018),"After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back."
Gurren Lagann the Movie: The Lights in the Sky are Stars,(2009),"Seven years after the defeat of the Spiral King, Simon and the Dai-Gurren brigade must set out to the vastness of space to defeat a new threat and save the universe. The last high-stakes battle for Simon and his team is about to begin."
Gekijouban Bleach: Jigokuhen,(2010),"When Ichigo's sister Yuzu is kidnapped by sinners & he is asked to do something for them in order to get his sister released. Ichigo must find a way to take his sister back form hell with the help of Rukia, Renji & Uryu."
Rise of the Teenage Mutant Ninja Turtles: The Movie,(2021),"When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species."
Roujin Z,(1991),A compassionate young nurse is determined to help an elderly invalid strapped to a revolutionary health care bed but there are unexpected consequences.
Octonauts: The Ring of Fire,(2021),The Octonauts create a Mantis Shrip Robot to save the oceanic creatures from a tsunami and volcanic eruptions in the Pacific Ring of Fire.
Orange: Mirai,(2016),"The film retells the main story from the viewpoint of Hiroto Suwa, as he continues to support Kakeru and Naho's relationship. The film also features an original story which takes place after the events in the manga and anime series."
Faust,(1994),An ordinary man is lured into a strange puppet theatre by a map and finds himself embroiled in a production of the Faustian legend.
Kaena: The Prophecy,(2003),"On the distant planet Axis, Kaena, a rebellious, high-spirited teenage girl, will defy the High Priest and her people's ancestral beliefs to take a perilous journey and discover what dark secrets lie beyond the clouds."
Snoopy Come Home,(1972),"When Snoopy receives a letter from a girl named Lila, who's in a hospital, he goes on a journey with Woodstock to see her."
Kureopatora,(1970),"In order to foil the enemy aliens' ""Cleopatra Plan"", three people from the future are spiritually sent back to Cleopatra's time to understand the enemy intentions."
Mad Monster Party?,(1967),"On the Isle of Evil, the head of the ""World Organization of Monsters"" reveals his imminent retirement and that he has refined a formula for total destruction, only to be upset when the monsters try to steal the formula and kill his nephew."
Ethel & Ernest,(2016),"The life and times of the parents of the hailed British graphic novelist, Raymond Briggs."
The Adventures of Panda Warrior,(2012),"A peace-loving soldier is transported to another world and turned into a panda. To get home, he must join forces with a flying pig to free the once-peaceful land from tyranny."
Dragon Ball Z: Fusion Reborn,(1995),The universe is thrown into dimensional chaos as the dead come back to life. Now Goku and Vegeta must track down the cause of this uproar.
The Motel Life,(2012),A pair of working-class brothers flee their Reno Motel after getting involved in a fatal hit-and-run accident.
After Last Season,(2009),"Two neurology students create a telepathy experiment together to visualize a murderer, who recently knifed another student."
Mushi-Shi Zoku Shou: Suzu no Shizuku,(2015),"An adaptation of the last arc in the manga, Mushishi Zoku Shou: Suzu no Shizuku follows Ginko's peculiar journey amidst the occult to unravel the mystery behind the enigmatic girl called Kaya and the mountain that has become her home."
Doraemon the Movie: Nobita's New Dinosaur,(2020),"Nobita accidentally found a fossil dinosaur egg mixed with rocks in the dinosaur fossil exhibition site that he had visited before. He returned it to its original state with the ""Time ... "
The Wind Guardians,(2018),"A young man who lives in Xiaoyanggang dreams of martyrdom, but he is blind and can only sneak into the market by swindling. One day, Rakshasa attacked Xiaoyanggang, and his mother, who was ... "
Trigun: Badlands Rumble,(2010),"A gunfighter with a strict no-kill policy, Vash the Stampede arrives in a town full of bounty hunters competing to collect the reward for catching a robber he saved 20 years ago."
Dante's Inferno,(2007),"A darkly comedic travelogue of the underworld - set against an all-too-familiar urban backdrop of used car lots, gated communities, strip malls, and the U.S. Capitol. And populated with a contemporary cast of reprobates, including famous - and infamous - politicians, presidents, popes, pimps. And the Prince of Darkness himself."
Naruto the Movie 2: Legend of the Stone of Gelel,(2005),"Naruto, Shikamaru and Sakura are on a mission to deliver a lost pet to a village when a mysterious knight appear to confront them."
Peppa Pig: My First Cinema Experience,(2017),A 72 minute theatrical release comprised of previously unreleased episodes and musical interludes of the animated television series featuring stage-show versions of Peppa Pig and her brother George.
Wings of Honneamise,(1987),"In an alternative Earth, a young astronaut participates in a controversial fledgling space program."
Okko's Inn,(2018),"After losing her parents in a car accident, Okko starts living in the countryside with her grandmother who runs a traditional Japanese inn. While she prepares to be the next owner of the inn, Okko can somehow see friendly ghosts."
Delhi Safari,(2012),A group of animals plan a trip to Delhi in order to ask the parliament why the forest they live in is on the verge of destruction.
The Return of Tiny Toon,(2018),"More than 20 years have passed after the cancellation of the series, and the characters separated. Now it's time to return. Except that for this to happen, you need to gather the gang, somehow."
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",(1980),Charlie Brown and his friends travel to Europe as exchange students.
Pokémon: The Rise of Darkrai,(2007),"An idyllic town is thrown into chaos when two powerful Pokémon, Dialga and Palkia, cross paths and battle, distorting the dimensions of time and space. The only hope comes from Darkrai, a shadowy Pokémon shunned by the townsfolk."
Kizumonogatari III: Reiketsu-hen,(2017),"Part 3 of Kizumonogatari (Wound Tale) trilogy, based on a light novel by Nisio Isin."
Gekijouban Naruto Shippuuden: Za rosuto tawâ,(2010),"Our hero Naruto is caught in special chakra that propels him into the past. He finds himself in the City of Loran. As he encounters strange things, can he save the future with the past?"
Swan Lake,(1981),"A prince falls in love with a princess cursed to change into a swan by day, but their love is threatened by the sorcerer who keeps her imprisoned."
Ai no utagoe wo kikasete,(2021),The film tells the story of a new transfer student interested in her surroundings and a song that brings happiness to her and her classmates.
Gekijô-ban Naruto Shippûden: Hi no ishi wo tsugu mono,(2009),"Ninjas with bloodline limits begin disappearing in all the countries and blame points toward the fire nation. By Tsunade's order, Kakashi is sacrificed to prevent an all out war. Naruto fights through friends and foes to prevent his death."
Kanojo no omoide,(1995),"""Magnetic Rose"" is about what happens when a deep space corporate freighter is called upon to investigate a distress signal from what ought to be a derelict space station. The space station... "
Dead Leaves,(2004),Two awaken on Earth with no recollection of their past and embark on a devastating crime spree but are sent to an infamous lunar penitentiary named Dead Leaves.
Raggedy Ann & Andy: A Musical Adventure,(1977),"Raggedy Ann and Andy leave their playroom to rescue Babette, a beautiful French doll kidnapped by pirates."
The Fairy Princess & the Unicorn,(2019),Fantasy country of Bayala is on danger. Only twin sisters Surah and Sera can save it.
Asagao to Kase-san,(2018),"Yamada is a shy girl in high school who loves doing greenery committee work, but one day she falls into conversation with kase-san the popular and talented school track star. Suddenly ... "
Teacher's Pet,(2004),"Spot (Lane) is a dog who can talk and read. Posing as a human, he sneaks into school with his master Leonard (Flemming). Educational adventures ensue."
The King of Pigs,(2011),"Jong-suk and Kyung-min meet up to talk about their high school past, it's been 15 years since they last talked. It brings up all kinds of memories."
Escaflowne: The Movie,(2000),"A grim retelling of the television series ""The Vision of Escaflowne""."
The Donkey King,(2020),"When the ruler of Azad City suddenly renounces the throne, a down-on-his-luck donkey wins the nation's first election, and is crowned The Donkey King."
The Boy and the World,(2013),A little boy goes on an adventurous quest in search of his father.
So Dear to My Heart,(1948),This heartwarming classic tells the tale of a country boy who adopts a mischevious black lamb and learns valuable lessons about love and dedication.
The Garden of Sinners: Paradox Spiral,(2008),"November 1998: A young man swears he committed a heinous crime, he looks in the news, but nobody talks about what happened, even when the police find the alleged victims ... alive and ... "
The Ape Star,(2021),"Jonna has lived at the orphanage all her life. One day a Gorilla comes and adopts her. It takes some time for Jonna to get used to her new mother, but just as everything starts becoming good, the local authorities threaten their existence."
Fritzi: A Revolutionary Tale,(2019),"East Germany, 1989. Twelve-year-old Fritzi lovingly takes care of her best friend Sophie's little dog Sputnik, while Sophie's family is on summer vacation in Hungary. When Sophie doesn't ... "
Marquis,(1989),"The scene is a pre-French Revolution Bastille, where various political prisoners are being held: a woman who was raped and impregnated by the king, a police chief who was accused of selling... "
Mobile Suit Gundam: NT - Narrative,(2018),"One year has passed since the events of Mobile Suit Gundam Unicorn and the Laplace's Box was opened. Following the conflict called the ""Laplace Incident"", the Neo Zeon remnant force known ... "
Trash,(2020),"Boxes, bottles, cans. Garbage. Abandoned, ignored, inert. Until nightfall. Slim is a resigned cardboard box. but his fate changes when a kid toy box, Spark, involves him and his pals in an adventure that will change their life forever."
Dragon Ball Z: Cooler's Revenge,(1991),Frieza's older brother Cooler travels to Earth to take revenge against Goku for Frieza's defeat on planet Namek.
Rakuen Tsuiho: Expelled from Paradise,(2014),"With Earth now left in ruins following the ""Nano Hazard,"" most of humanity has abandoned the planet they once called home along with their physical bodies and rebuilt their digitalized ... "
Yamasong: March of the Hollows,(2017),An automated girl and tortoise warrior journey with a band of outlaws on an incredible quest. Their one hope is to find a legendary relic to defeat a sinister mechanized army and save the creatures of their world.
Doraemon the Movie: Nobita's New Great Adventure into the Underworld,(2007),"When Nobita turned the world into a world with magic with the what-if-telephone-booth-gadget, He and his world needed to defeat the threat that became reality in this world."
Lunacy,(2005),"A man takes up residence with a mysterious marquis and is soon persuaded to enter into an asylum for preventative therapy. Things are not what they seem, and the marquis may be even more sinister than what the young man may've predicted."
Az ember tragédiája,(2011),"Adam's and Eve's epic journey throughout history trying to find the meaning of human life. Do we grow in wisdom as centuries pass, or just drift towards an inevitable doom?"
Appleseed Ex Machina,(2007),"With Brialeos convalescing after a mission, Deunan is assigned a new and remarkably familiar partner as a strange wave of terrorist attacks plague Olympus."
Another Day of Life,(2018),"A gripping story of a three-month-long journey that renowned Polish reporter Ryszard Kapuscinski took across Angola, ravaged by a war in which the front lines shifted like a kaleidoscope, from one day to the next."
The Boxcar Children,(2014),Four children set out on a journey to find a new home.
Gintama the Movie: The Final Chapter - Be Forever Yorozuya,(2013),Gintoki travels into the future and discovers it to be a wasteland with his friends fallen apart. He reunites them to find out what went wrong and how to fix things.
Asterix in America,(1994),"Caesar has had enough when another legion is hacked to pieces by the damned single indomitable village in Gaul because of the druid's magic potion, so he decides to tackle the problem at ... "
Doraemon: Nobita and the Space Heroes,(2015),"Nobita wishes to be a real hero. Doraemon uses his gadget, the Burger Director to make them a real movie superhero. Aron saw the five powers and abilities and asks them to help him save his... "
LEGO DC: Shazam - Magic & Monsters,(2020),"When the boy hero Shazam is offered to join the Justice League he is reluctant about it, but when his rivals the Monster Society put the League in peril he's the only one who can save them."
Gekijouban Sekaiichi hatsukoi: Yokozawa Takafumi no baai,(2014),"Yokozawa meets a man (Kirishima) and his life is turned around. Kirishima starts to blackmail and tease Yokozawa, but Kirishima might actually be trying to help him recover from an emotional period of his life in the process."
"Hey There, It's Yogi Bear",(1964),"As the movie opens, Spring has arrived in Jellystone Park. Just as fast as tourists arrive, Yogi is up to his usual act of stealing their picnic baskets and any other food he encounters. ... "
Barbie and the Secret Door,(2014),"Alexa is a very shy princess from a contemporary, modern kingdom who discovers a secret door that opens to a magical land."
The Hero of Color City,(2014),A diverse band of crayons strive to protect not only their magical multihued homeland but the imagination of children everywhere from a terrifying monster.
The Red Scroll,(2020),"This is the story of Nina, a 13-year-old girl who is transported to the universe of Telurian, a mysterious and Earth-like world inhabited by various fantastic creatures. There she will join... "
9 Satra,(2018),"With ""Ott"" father's last hope to take back Ramthep City where is now occupy by Asura (Giant Race), the boy was trained the martial art of Muay Thai for the mission of delivering 9 Satra, ... "
Cinderella and the Secret Prince,(2018),"During the Royal Ball, Cinderella and her mice fellows discover a secret that could shake their world: the real prince has turned into a mouse by the evil witch, and the ""Prince"" from the Royal Ball is in fact a fraud."
Rudolph the Red-Nosed Reindeer: The Movie,(1998),It's up to Santa's most famous reindeer to save the day when an evil queen conjures up a storm on Christmas.
Strings,(2004),"A Prince leaves his city and sets off to avenge his father, not aware his father wasn't murdered, and in reality, committed suicide, and soon learns the truth about his people from a warrior woman."
No.7 Cherry Lane,(2019),"Ziming, a University undergraduate, is entangled between his amorous feelings for a self-exiled mother Mrs Yu from Taiwan and her beautiful daughter Meiling, in the era coincides with Hong Kong's turbulent times of 1967."
Fireman Sam: Set for Action!,(2018),"The alarm has sounded and the Pontypandy crew is off to rescue their friends and others in need. From engine sparks and wild fireworks to water rescue and more, you won't want to miss these adventures with your favorite hero, Fireman Sam!"
Mirai shônen Konan Tokubetsu-hen: Kyodaiki Giganto no Fukkatsu,(1984),"In the future, some humans build a spaceship to abandon earth. The spaceship crashed in an island isolated from the rest of the world. The story takes place when there are only 2 survivors ... "
Saekano: How to Raise a Boring Girlfriend Fine,(2019),The final chapter of the anime adaptation series based on Fumiaki Maruto's romance comedy light novel series
Dino King 3D: Journey to Fire Mountain,(2019),"An action-packed family adventure that combines the realism of Walking With Dinosaurs with the heart of Finding Nemo. Speckles, a ferocious tarbosaurus and his young son junior, mourning ... "
Dragon Ball Z: The World's Strongest,(1990),The Z-Fighters must stop a mad scientist out to take over the world.
Doug's 1st Movie,(1999),Doug and his pal Skeeter set out to find the monster of Lucky Duck Lake.
Godzilla: City on the Edge of Battle,(2018),"Humanity's desperate battle to reclaim the Earth from Godzilla continues. The key to defeating the King of the Monsters may be Mechagodzilla, a robotic weapon thought to have been lost nearly 20,000 years ago."
Yes ka No ka Hanbun ka,(2020),"Kei, a popular young TV caster encounters Tsuzuki, an animation artist and gradually starts to have feeling for him but he owns a big secret that he has to pretend being a totally different person."
Appleseed Alpha,(2014),"A tough, cute woman and a cyborg arrive at a depopulated, post WW3 Times Sq. They leave the ruins of NYC with 2 on a secret mission."
Gin-iro no kami no Agito,(2006),It is 300 years into the future. Earth's environment had been devastated by mankind's own foolish plans and humankind is beleaguered by the sentient forests which they have awoken. The ... 
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,(2012),The story takes place in Europe in the year a.t.b. 2017. A Knightmare unit made of boys and girls from Area Eleven are thrown into a military operation with a 5%chance of survival. They ... 
Kidô keisatsu patorebâ: The Movie 2,(1993),"When a terrorist attack is blamed on the Air Force, Special Vehicle Unit 2 gets caught in the middle of a growing political conflict."
Journey Back to Oz,(1972),"During another twister, Dorothy is hit on the head by a gate and once again whisked away to the Land of Oz. But this time, on her way to the Emerald City, she discovers the witch Mombi's ... "
Gekijouban Psycho-Pass,(2015),"In this sequel to Psycho-Pass TV show, Inspector Tsunemori is sent to a neighboring war-torn nation, where the Sibyl System is being introduced as an experiment, to find Shinya Kogami, her former enforcer who went rogue three years ago."
Ghost in the Shell: The New Movie,(2015),"Newport-City 2029: Major, an advanced female cyborg, is in charge of the anti-terrorism etc. unit reporting directly to the government. Taking out terrorists and freeing hostages at an embassy doesn't go smoothly. Major investigates why."
Hanuman,(2005),"This animated movie depicts Hanuman's life from birth. The narrator is actor Mukesh Khanna. The movie relays how Hanuman was born to Anjani a female Apsara and Kesari, by the blessings of Vayu-Dev, the Wind God."
Die Heinzels - Rückkehr der Heinzelmännchen,(2019),The legendary Elfkins (Heinzelmännchen) of Cologne were gnomes secretly helping craftsmen at night until they were ousted by a tailor's malevolent wife 200 years ago. This is the story of their return.
Meitantei Conan: Tokei-jikake no matenrou,(1997),The detective genius Conan must solve a series of bombings or his true love will die!
Eiga Chuunibyou demo koi ga shitai! Take On Me,(2018),"Pretty much the two main characters go on a last ditch effort trip to escape the sister, and ultimately try to spend as much time together as they can."
El arca,(2007),"Noah is building a whale of a boat in order to save two of every species from a flood that will cover the entire world. Pretty soon, animals are lining up to board the Ark two by two."
Pinocchio and the Emperor of the Night,(1987),"Pinocchio and his friends, a glow worm and a marionette, search for a magic music box. However, so is the evil Scalawag and the Emperor of the Night."
Arrugas,(2011),"An astonishing cocktail of friendship, resistance and life set among the unexpected landscape of an elderly care facility."
Savva. Serdtse voina,(2015),A fairytale about a grand life journey of a 10-year-old boy Savva devoted to help his mom and fellow village people to break free from the vicious hyenas.
Todd McFarlane's Spawn 2,(1998),"Spawn - having become plagued by nightmares - discovers that his former Special Forces partner, Chapel, was the one who murdered him. Their paths inevitably cross when Chapel attempts to steal military weapons for Jason Wynn."
The Little Fox,(1981),"Famous, great hunters, better stay away, here comes Vuk! (They say he is cunning as a fox!)"
In This Corner (and Other Corners) of the World,(2019),"During World War II, Suzu, an eighteen-year-old girl living in Hiroshima, Japan, gets married through arrangement and moves to Kure city where a Japanese major naval base was established. ... "
Jack and the Beanstalk,(1974),A young peasant boy named Jack climbs a giant beanstalk and stumbles upon a city in the clouds ruled by an evil queen.
Quantum Quest: A Cassini Space Odyssey,(2010),"Quantum Quest centers on the story of Dave, a young photon, who is forced out of the Sun on a journey of discovery. He must get to the Cassini Space Craft and save it from the forces of the... "
Pokémon the Movie: Volcanion and the Mechanical Marvel,(2016),A mystical Pokémon by the name of Volcanion must accept Ash's help to rescue the Azoth Kingdom.
Spriggan,(1998),An elite superhuman agent must stop a foreign military unit from seizing control of an ancient artifact that holds the key to ultimate power.
Monster High: Welcome to Monster High,(2016),"When Dracula meets Frankie, they decide to create a school. But recruiting students always comes with its trials and tribulations."
Saga of Tanya the Evil - The Movie,(2019),"Tanya Degurechaff continues her misadventures, avoiding death and being sent to hell, while battling the forces of the Republic Army."
Henchmen,(2018),"When the world is threatened by an evil supervillain, a teenager and his mentor team up to stop him."
Gekijôban Sword Art Online Progressive Hoshi naki yoru no Aria,(2021),"""There's no way to beat this game. The only difference is when and where you die..."" One month after Kayaba Akihiko's game of death began, the death toll continues to rise, two thousand ... "
A Dragon Adventure,(2019),"After communicating with devious Emrick the Wizard in a dream, King Bedwyr asks his favorite wee dragons, Boil and Cai, to bury the hatchet with the Wee Kingdoms longstanding enemy, Durwyn the dragon."
Upin & Ipin: Keris Siamang Tunggal,(2019),"Upin, Ipin and their friends come across a mystical 'keris' that opens up a portal and transports them straight into the heart of a kingdom."
Angela's Christmas Wish,(2020),"A sequel to the much loved Angela's Christmas, Angela's Christmas Wish is a heart-warming tale of a determined little girl who sets out to reunite her family in time for Christmas."
Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,(2013),Madoka Kaname used to be a normal girl living happy days of her life. This all ended when she sacrificed herself in order to save other magical girls from the utterly cruel fate that ... 
The Adventures of Prince Achmed,(1926),"A handsome prince rides a flying horse to faraway lands and embarks on magical adventures, which include befriending a witch, meeting Aladdin, battling demons and falling in love with a princess."
Rock Dog 3: Battle the Beat,(2022),"When the young performers on a music contest show admit they have never heard of Angus Scattergood, Bodi and his band True Blue, and pop sensation Lil' Foxy are compelled to join the show to restore the Rock Legend's good name."
Macross: Do You Remember Love?,(1984),"In the next century, a reconfiguring ship (think ""Transformer"" with a pilot) called Macross carries fifty thousand refugees within its hold as it returns to Earth pursued by giant humanoid ... "
A Yeti Adventure,(2017),"Quebec City, 1956. Nelly Maloye, an ebullient novice detective, accidentally crosses paths with Simon Picard, an ambitious research assistant in anthropology at the local university. Backed... "
Black Butler: Book of the Atlantic,(2017),"A young lord and his demon butler board a luxury cruise ship to investigate claims of the dead being returned to life, and are faced with various complications."
"Race for Your Life, Charlie Brown",(1977),"The Peanuts gang goes to summer camp, and they participate in a river-raft race against some cheating bullies."
Kizumonogatari II: Fierce,(2016),"In the spring of his second year of high school, Koyomi Araragi met the beautiful vampire Kiss-shot Acerola-orion Heart-under-blade. Koyomi saved Kiss-shot, who was on the verge of death ... "
Oggy and the Cockroaches: The Movie,(2013),"Ever since the world was born, two forces have been locked in perpetual battle. Their struggle is so Manichean, so ferocious, so Herculean that it makes the clash between good and evil look... "
The Master and Margarita,(2022),"The Master, a writer of a novel banned by the government, and his mistress Margarita, who makes the decision to sell her soul to the devil, who masks himself as a professor in Moscow, to salvage the Master from a psychiatric ward."
Kyochuu Rettou,(2020),"Students from Hosho Academy High School were aboard a plane when it crash lands under mysterious circumstances. The heroine, Oribe Mutsumi and her classmates wash ashore on an island. The ... "
Inuyasha the Movie: Affections Touching Across Time,(2001),Menomaru(a moth monster) was brought to life by a Shikon Shard. Inuyasha's father has defeated the monster's father 500 years ago. Inuyasha will need Kagome's feelings to win.
Ginga-tetsudô no yoru,(1985),Two kittens go on a metaphysical journey on a magical railroad train.
Dragon Ball Z: Bojack Unbound,(1993),"Bojack is a demon who was freed from prison when King Kai's planet was destroyed. Now, without his father Goku by his side, can Gohan save the Earth?"
Pachamama,(2018),A young boy living in a remote village in the Andes Mountains dreams of becoming shaman.
Pokemon 4Ever: Celebi - Voice of the Forest,(2001),Ash must stop a hunter who forces the mythical Pokémon Celebi to help him destroy a forest.
Kureyon Shinchan: Shûrai!! Uchûjin shiriri,(2017),"One day, the Nohara family met a mysterious alien from outer space named Shiriri. On being basked by a ray emitted by Shiriri, Hiroshi and Misae became 25 years younger and appeared as kids... "
Rejsen til Saturn,(2008),"A privately funded Danish mission to find resources on Saturn replaces navigator last minute with incompetent Per. His ex tries to warn them. Unfortunately, there are aliens on Saturn who are interested in Earth's water."
The Boxcar Children - Surprise Island,(2018),"The continuing adventures of Henry, Jessie, Violet, and Benny as they spend the summer on their grandfather's private island."
Sailor Moon R: The Movie: The Promise of the Rose,(1993),"Fiore, an old friend from Mamoru's lonely childhood who couldn't survive on Earth, returns with flowers he promised Mamoru. But, the evil flower Kisenian overpowered Fiore's weak mind and ... "
Doraemon: Nobita and the Steel Troops,(1986),Nobita with Doraemon and others fight a robot army to save earth for alien invasion.
Macskafogó,(1986),"In the year 80 AMM (After Mickey Mouse) on planet X the crime-syndicated Cats try to erase the Mouse-population once and for all. A scientist of the mice, prof. Fushimishi seems to have ... "
Wheely,(2018),"Wheely, a cabbie from the lower ranks of society, faces an uphill battle to save his dream girl from a monstrous 18-wheeler truck who is the mastermind of a luxury car-napping syndicate."
Technotise - Edit i ja,(2009),"Belgrade 2074. Edit is a student. After a few failed exams she decides to implant a memory chip... but, something strange starts happening to her."
La fameuse invasion des ours en Sicile,(2019),"To rescue his missing son, Léonce the King of Bears, invade the land of men with the help of his clan."
Norm of the North: Keys to the Kingdom,(2018),"Norm, the newly crowned polar bear king of the arctic, must save New York City and his home. But Norm goes from hero to villain when he's framed for a crime he didn't commit. He must work ... "
Daisy Town,(1971),When the members of a caravan of pioneers find a daisy growing in the middle of the desert they decide to stop there and to build their town on this very spot. Houses soon spring up like ... 
The Reef 2: High Tide,(2012),"Trained in the skills of sea power, Pi the fish can fight a shark, sink a squid or batter any random predator that ever threatens his friends and neighbors on the reef. Unfortunately, being... "
Dragon Ball: Curse of the Blood Rubies,(1986),Goku and his friends must stop King Gurumes from destroying the city for blood rubies and gathering the seven Dragon Balls.
Asterix and Cleopatra,(1968),"Provoked, Cleopatra bets Caesar, that she can build a big palace in 3 months. An architect is given 3 months or else.. Fortunately, Getafix/Panoramix, Asterix and Obelix come to Alexandria to help."
Made in Abyss: Journey's Dawn,(2019),"A girl named, Riko and her robot friend, Reg, journey down into a deadly, otherworldly chasm, known as the Abyss, in search of her lost mother."
Pokémon: Arceus and the Jewel of Life,(2009),"Arceus, creator of the world, comes to pass judgement on humanity for the theft of the Jewel of Life, but Ash Ketchum and his friends are sent back in time to discover and possible reverse the events that led to Arceus' vendetta."
The Trumpet of the Swan,(2001),"It's a high-flying adventure when Louie, a mute trumpeter swan, is given the gift of a trumpet, and finds his voice."
Christmas at Cattle Hill,(2020),"Klara the Calf is excited to spend her first Christmas on Cattle Hill with her Father, but when they arrive at the farm Klara is disappointed to see he has not attempted to decorate for the... "
Invention for Destruction,(1958),An evil millionaire named Artigas plans to use a super-explosive device to conquer the world from his headquarters inside an enormous volcano.
Superworm,(2021),Plot unknown.
Gekijôban Shingeki no Kyojin Kôhen: Jiyû no tsubasa,(2015),"As the Trost District is reclaimed from the Titans, Eren is taken under the wing of Captain Levi and his squad, who decide to try and teach him to master his mysterious abilities."
A Dog's Courage,(2018),"Stray dogs who have been abandoned by humans find ""a place without humans"" and realize their identities and the meaning of freedom and self-identity."
Dragon Ball Z: Bio-Broly,(1994),"Broly is cloned by Mr. Jaguar, who plans to pit him and other bio-warriors against Mr. Satan in an attempt to expose him as a fraud. Goten, Trunks, Kriilin and Android 18 must stop the new Bio-Broly."
Eiga Doraemon: Nobita no getsumen tansaki,(2019),"Nobita saw a moon turned yellow last night and told his class about it but they think it's funny. Doraemon gives him the ""History Explorers Club Badge"" and discovers there's life on the moon. Until a new student changed him forever."
Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,(2021),When the five visit a private academy Kazama is attacked. He is left with reduced intelligence and strange bite marks.
Masameer: The Movie,(2020),A child with a knack for AI decided to change the world by creating crime-fighting heroes out of her unlikely friends.
Made in Abyss: Wandering Twilight,(2019),"After departing from Ozen's camp, Riko and Reg continue their journey, encountering more dangers as they descend further into the Abyss."
O Grilo Feliz,(2001),"Happy Cricket and his cute, adorable friends will have to defeat the evil Wartlord and rescue Linda, the Night Star. This film celebrates the values of friendship, freedom and the defense of nature."
